IntakeMonth,Breed,EstimatedAge,Sex,SpayNeuter,Size,Color,IntakeType,IntakeYear,OutcomeYear,Class
Impound,2011,February,,Older than 1 year,FEMALE,true,MED,TAN,2011,Home
Owner Surrender,2011,July,,Infant - Younger than 6 months,MALE,true,KITTN,GRAY,2011,Home
Owner Surrender,2011,September,,,UNKNOWN,false,KITTN,ORG TABBY,2011,Euthanized
Stray,2011,October,,,UNKNOWN,false,LARGE,BLACK,2011,Euthanized
Owner Surrender,2011,February,LABRADOR RETR - MIX,,FEMALE,false,PUPPY,BLACK,2011,Other
Stray,2011,September,,Infant - Younger than 6 months,FEMALE,true,KITTN,BLACK,2011,Home
Stray,2012,April,GREYHOUND - MIX,,FEMALE,false,LARGE,WHITE,2012,Home
Owner Surrender,2011,November,GERM SHEPHERD - MIX,Older than 7 years,FEMALE,false,MED,BROWN,2011,Euthanized
Out Patient Spay or Neuter,2011,May,,Older than 1 year,MALE,true,LARGE,WHITE,2011,Other
Stray,2011,July,,,UNKNOWN,false,MED,GRAY,2011,Euthanized
Stray,2011,October,GOLDEN RETR - MIX,,MALE,false,MED,RED,2011,Euthanized
Owner Surrender,2011,December,,Infant - Younger than 6 months,UNKNOWN,false,KITTN,BLACK,2011,Euthanized
Owner Surrender,2012,February,AUST CATTLE DOG - CHIHUAHUA SH,Infant - Younger than 6 months,FEMALE,true,MED,TRICOLOR,2012,Home
Foster Return,2012,May,,Infant - Younger than 6 months,FEMALE,true,KITTN,GRAY TABBY,2012,Home
Owner Surrender,2011,July,,Older than 1 year,MALE,true,LARGE,ORG TABBY,2011,Home
Stray,2011,April,,Infant - Younger than 6 months,FEMALE,false,KITTN,WHITE,2011,Other
Stray,2011,June,,,UNKNOWN,false,MED,GRAY,2011,Euthanized
Stray,2011,February,,Older than 7 years,MALE,false,LARGE,BROWN,2011,Home
Stray,2011,July,,,UNKNOWN,false,MED,BLACK,2011,Euthanized
Stray,2012,April,,Infant - Younger than 6 months,MALE,false,KITTN,ORG TABBY,2012,Other
Owner Surrender,2011,March,,Infant - Younger than 6 months,FEMALE,true,PUPPY,BLACK,2011,Home
Stray,2012,April,,,UNKNOWN,false,KITTN,BLACK,2012,Euthanized
Foster Return,2012,July,JACK RUSS TER - BEAGLE,Youth - Younger than 1 year,MALE,true,SMALL,TAN,2012,Other
Owner Surrender,2011,November,,,MALE,false,MED,BROWN,2011,Euthanized
Owner Surrender,2011,February,,Older than 1 year,MALE,true,LARGE,ORG TABBY,2011,Other
Stray,2011,March,,Youth - Younger than 1 year,MALE,true,MED,BLACK,2011,Home
Stray,2012,May,,,FEMALE,false,MED,WHITE,2012,Euthanized
Stray,2012,September,,Older than 1 year,MALE,false,SMALL,ORANGE,2012,Other
Stray,2012,February,,,MALE,false,LARGE,BLK TABBY,2012,Euthanized
Stray,2011,June,,,UNKNOWN,false,MED,BLACK,2011,Euthanized
Stray,2011,June,,,MALE,false,LARGE,BLACK,2011,Euthanized
Owner Surrender,2012,August,,Older than 7 years,FEMALE,false,LARGE,GRAY,2012,Euthanized
Stray,2012,September,,Older than 1 year,MALE,false,LARGE,WHITE,2012,Other
Stray,2011,February,,,FEMALE,false,LARGE,BRN TABBY,2011,Euthanized
Stray,2011,August,,,UNKNOWN,false,MED,GRAY,2011,Euthanized
Stray,2012,August,,Older than 1 year,MALE,true,MED,ORG TABBY,2012,Euthanized
Stray,2011,July,,,FEMALE,false,KITTN,BRN TABBY,2011,Euthanized
Stray,2012,February,,,MALE,false,MED,WHITE,2012,Euthanized
Stray,2012,September,,Older than 1 year,MALE,false,LARGE,BLACK,2012,Euthanized
Stray,2011,March,,,MALE,false,LARGE,BRN TABBY,2011,Euthanized
Stray,2011,June,,Older than 1 year,MALE,true,SMALL,WHITE,2011,Home
Stray,2011,January,CHOW CHOW - BORDER COLLIE,,MALE,true,MED,BROWN,2011,Other
Stray,2011,July,GERM SHEPHERD - SIBERIAN HUSKY,,MALE,true,LARGE,BLACK,2011,Other
Impound,2011,January,PIT BULL - LABRADOR RETR,,MALE,false,LARGE,BLACK,2011,Euthanized
Owner Surrender,2012,September,LABRADOR RETR - MIX,Older than 7 years,MALE,false,LARGE,BLACK,2012,Euthanized
Foster Return,2012,June,,Infant - Younger than 6 months,FEMALE,true,KITTN,GRAY,2012,Home
Stray,2012,April,SIBERIAN HUSKY - MIX,,FEMALE,false,MED,BLACK,2012,Euthanized
Stray,2012,August,,Older than 7 years,MALE,true,MED,BLACK,2012,Home
Stray,2012,January,MIN PINSCHER - MIX,Infant - Younger than 6 months,MALE,true,SMALL,BLACK,2012,Home
Stray,2012,May,,Infant - Younger than 6 months,FEMALE,true,KITTN,BLK TABBY,2012,Home
Foster Return,2012,May,,Older than 1 year,FEMALE,true,MED,GRAY,2012,Home
Owner Surrender,2011,January,,,FEMALE,false,MED,BRN TABBY,2011,Euthanized
Stray,2011,May,,,UNKNOWN,false,LARGE,BLACK,2011,Other
Stray,2011,June,,Older than 1 year,FEMALE,true,MED,ORG TIGER,2011,Home
Owner Surrender,2011,March,,,FEMALE,false,SMALL,BROWN,2011,Other
Owner Surrender,2012,July,BASSET HOUND - BEAGLE,Older than 1 year,MALE,true,MED,TAN,2012,Home
Stray,2011,March,,,FEMALE,false,SMALL,TORTIE,2011,Other
Owner Surrender,2011,August,,,FEMALE,false,KITTN,TORTIE,2011,Other
Stray,2011,March,,,UNKNOWN,false,KITTN,BRN TIGER,2011,Other
Stray,2011,November,,Older than 7 years,MALE,true,TOY,FAWN,2011,Home
Stray,2011,February,,Infant - Younger than 6 months,FEMALE,true,KITTN,BLACK,2011,Home
Owner Surrender,2011,April,LABRADOR RETR - MIX,Youth - Younger than 1 year,FEMALE,true,PUPPY,BLACK,2011,Other
Owner Surrender,2011,January,,Older than 7 years,MALE,false,TOY,BROWN,2011,Other
Owner Surrender,2012,February,GERM SHEPHERD - MIX,Older than 1 year,FEMALE,true,MED,BROWN,2012,Home
Owner Surrender,2011,August,,Older than 1 year,FEMALE,true,MED,GRAY TABBY,2012,Home
Owner Surrender,2012,May,DOMESTIC SH - SIAMESE,Infant - Younger than 6 months,MALE,true,KITTN,FLAME PT,2012,Other
Owner Surrender,2011,September,,Infant - Younger than 6 months,UNKNOWN,false,KITTN,BLACK,2011,Euthanized
Stray,2012,September,PIT BULL - POINTER,Youth - Younger than 1 year,FEMALE,true,MED,WHITE,2012,Home
Stray,2012,August,,Older than 1 year,UNKNOWN,false,LARGE,CALICO,2012,Other
Stray,2012,August,,Older than 1 year,MALE,true,LARGE,BLACK,2012,Other
Owner Surrender,2012,July,,Older than 1 year,FEMALE,true,SMALL,TAN,2012,Other
Stray,2011,May,,,FEMALE,false,LARGE,BLACK,2011,Euthanized
Stray,2011,June,,Infant - Younger than 6 months,FEMALE,true,KITTN,CALICO,2011,Home
Owner Surrender,2011,December,,Older than 1 year,FEMALE,false,MED,TORTIE,2011,Euthanized
Stray,2011,July,,Older than 1 year,MALE,false,LARGE,ORANGE,2011,Euthanized
Owner Surrender,2012,May,,Infant - Younger than 6 months,FEMALE,true,KITTN,TORTIE,2012,Other
Owner Surrender,2012,September,,Infant - Younger than 6 months,FEMALE,false,KITTN,TORTIE,2012,Euthanized
Owner Surrender,2011,September,,Older than 1 year,FEMALE,true,LARGE,WHITE,2011,Euthanized
Foster Return,2012,June,,Infant - Younger than 6 months,FEMALE,true,KITTN,CALICO,2012,Home
Stray,2011,June,,Older than 1 year,MALE,true,TOY,RED,2011,Home
Stray,2012,August,,Youth - Younger than 1 year,FEMALE,false,MED,CALICO,2012,Other
Reported Lost by Public,2012,September,,,MALE,false,,UNKNOWN,2012,Other
Stray,2012,May,,Infant - Younger than 6 months,MALE,true,PUPPY,BLACK,2012,Other
Stray,2012,July,,Infant - Younger than 6 months,FEMALE,false,KITTN,BRN TABBY,2012,Euthanized
Stray,2011,June,,,UNKNOWN,false,LARGE,BRN TABBY,2011,Euthanized
Owner Surrender,2012,March,,Infant - Younger than 6 months,FEMALE,true,PUPPY,CREAM,2012,Home
Stray,2011,May,,,FEMALE,false,MED,BLACK,2011,Euthanized
Owner Surrender,2012,April,,Infant - Younger than 6 months,FEMALE,false,KITTN,BLACK,2012,Other
Owner Surrender,2012,September,,Infant - Younger than 6 months,FEMALE,false,KITTN,LYNX PT,2012,Other
Stray,2012,September,BOMBAY - MIX,Older than 1 year,FEMALE,true,LARGE,BLACK,2012,Home
Stray,2011,March,,Older than 1 year,MALE,true,MED,CHOCOLATE,2011,Other
Stray,2012,May,,,MALE,false,KITTN,BLACK,2012,Euthanized
Stray,2011,September,,,MALE,false,KITTN,BLACK,2011,Euthanized
Stray,2012,August,,Infant - Younger than 6 months,UNKNOWN,false,KITTN,GRAY,2012,Other
Stray,2011,March,LABRADOR RETR - PIT BULL,,MALE,false,LARGE,BLACK,2011,Home
Stray,2012,February,,Older than 1 year,FEMALE,false,MED,BRN TABBY,2012,Other
Stray,2011,October,,,FEMALE,false,LARGE,BLACK,2011,Euthanized
Stray,2012,May,,,FEMALE,false,SMALL,BLACK,2012,Euthanized
Stray,2012,May,,,FEMALE,false,KITTN,BLACK,2012,Euthanized
Stray,2011,March,,,MALE,false,LARGE,BRN TABBY,2011,Euthanized
Owner Surrender,2011,October,,Older than 7 years,FEMALE,false,LARGE,BLACK,2011,Euthanized
Stray,2012,September,,Older than 1 year,FEMALE,false,LARGE,BLACK,2012,Other
Stray,2011,September,,Infant - Younger than 6 months,MALE,true,KITTN,BLACK,2011,Home
Owner Surrender,2011,July,,Infant - Younger than 6 months,MALE,true,KITTN,GRAY TABBY,2011,Home
Stray,2011,January,,,UNKNOWN,false,MED,GRAY,2011,Euthanized
Owner Surrender,2011,November,,Older than 1 year,FEMALE,true,SMALL,BL BRINDLE,2011,Home
Stray,2011,March,,,MALE,true,LARGE,ORG TABBY,2011,Other
Owner Surrender,2012,July,,Older than 7 years,MALE,true,LARGE,YELLOW,2012,Euthanized
Stray,2012,October,,Older than 1 year,MALE,false,MED,GRAY,2012,Home
Owner Surrender,2012,June,,Youth - Younger than 1 year,MALE,true,TOY,BLACK,2012,Home
Owner Surrender,2012,May,,,FEMALE,false,SMALL,BLACK,2012,Euthanized
Stray,2012,June,,Infant - Younger than 6 months,FEMALE,true,KITTN,GRAY TIGER,2012,Other
Stray,2012,April,,,FEMALE,false,KITTN,GRAY,2012,Other
Owner Surrender,2012,June,DACHSHUND - MIX,Older than 7 years,FEMALE,false,SMALL,BLACK,2012,Euthanized
Owner Surrender,2011,August,,Older than 1 year,MALE,false,MED,BL BRINDLE,2011,Euthanized
Stray,2011,July,,,MALE,false,MED,GRAY TIGER,2011,Other
Owner Surrender,2011,October,,,MALE,true,LARGE,WHITE,2011,Home
Stray,2012,April,,Older than 1 year,FEMALE,false,LARGE,BLUE CREAM,2012,Other
Stray,2011,May,SNOWSHOE - MIX,Infant - Younger than 6 months,MALE,true,KITTN,LYNX PT,2011,Home
Stray,2012,May,,,UNKNOWN,false,KITTN,TORTIE,2012,Other
Owner Surrender,2011,October,,Older than 7 years,FEMALE,false,LARGE,TORTIE,2011,Euthanized
Stray,2011,September,,Older than 1 year,MALE,true,MED,FAWN,2011,Home
Owner Surrender,2011,July,,,UNKNOWN,false,MED,GRAY,2011,Euthanized
Stray,2011,July,,Older than 1 year,MALE,true,LARGE,BLACK,2011,Home
Stray,2012,September,,Older than 1 year,FEMALE,false,MED,CALICO,2012,Euthanized
Stray,2011,May,,,FEMALE,false,LARGE,GRAY,2011,Euthanized
Stray,2012,May,,,MALE,false,PUPPY,WHITE,2012,Euthanized
Stray,2011,July,,Infant - Younger than 6 months,FEMALE,false,KITTN,BLACK,2011,Euthanized
Stray,2011,August,,,FEMALE,false,LARGE,TORTIE,2011,Euthanized
Owner Surrender,2011,July,,Older than 1 year,FEMALE,true,SMALL,GRAY,2011,Euthanized
Stray,2011,February,,Infant - Younger than 6 months,MALE,true,PUPPY,GRAY,2011,Home
Impound,2011,January,JACK RUSS TER - MIX,,MALE,true,MED,WHITE,2011,Home
Owner Surrender,2011,February,BEAGLE - MIX,Older than 1 year,FEMALE,true,MED,WHITE,2011,Home
Stray,2011,December,GLEN OF IMAAL - MIX,Older than 1 year,FEMALE,true,SMALL,BROWN,2012,Home
Impound,2011,July,,Older than 1 year,MALE,true,LARGE,WHITE,2011,Other
Owner Surrender,2012,February,,Older than 1 year,FEMALE,true,MED,BLACK,2012,Other
Stray,2011,August,,,MALE,false,LARGE,ORG TABBY,2011,Euthanized
Stray,2012,April,,,FEMALE,false,PUPPY,WHITE,2012,Euthanized
Stray,2012,February,LABRADOR RETR - MIX,,FEMALE,false,MED,BLACK,2012,Other
Stray,2012,April,,Infant - Younger than 6 months,FEMALE,true,PUPPY,BLACK,2012,Other
Impound,2012,March,,Older than 7 years,MALE,false,SMALL,WHITE,2012,Other
Stray,2012,February,,,MALE,true,MED,WHITE,2012,Home
Stray,2011,January,PIT BULL - MIX,,MALE,true,MED,BROWN,2011,Euthanized
Owner Surrender,2011,April,,Older than 1 year,MALE,false,X-LRG,BLUE,2011,Euthanized
Stray,2011,May,GOLDEN RETR - LABRADOR RETR,Older than 7 years,MALE,false,LARGE,GOLD,2011,Other
Owner Surrender,2012,September,,Infant - Younger than 6 months,UNKNOWN,false,KITTN,GRAY,2012,Euthanized
Stray,2011,January,POODLE MIN - MIX,Older than 7 years,MALE,false,SMALL,WHITE,2011,Other
Stray,2012,June,,Infant - Younger than 6 months,UNKNOWN,false,KITTN,BUFF,2012,Euthanized
Foster Return,2012,June,,Infant - Younger than 6 months,MALE,true,KITTN,ORG TABBY,2012,Other
Foster Return,2012,June,,,FEMALE,true,SMALL,BLACK,2012,Home
Stray,2011,April,GERM SHEPHERD - CHOW CHOW,Infant - Younger than 6 months,FEMALE,true,PUPPY,BROWN,2011,Home
Stray,2012,April,,,MALE,false,SMALL,BLACK,2012,Euthanized
Stray,2011,November,NEWFOUNDLAND - IRISH WOLFHOUND,Older than 1 year,MALE,true,X-LRG,BLACK,2011,Other
Stray,2011,April,,Infant - Younger than 6 months,UNKNOWN,false,KITTN,BLACK,2011,Euthanized
Owner Surrender,2011,October,DALMATIAN - MIX,Older than 7 years,FEMALE,false,LARGE,WHITE,2011,Euthanized
Stray,2012,July,,Infant - Younger than 6 months,MALE,true,KITTN,WHITE,2012,Other
Stray,2012,January,,Older than 1 year,MALE,false,MED,TRICOLOR,2012,Other
Stray,2012,January,,,UNKNOWN,false,SMALL,BRN TABBY,2012,Euthanized
Stray,2012,August,GLEN OF IMAAL - MIX,Older than 1 year,FEMALE,true,MED,WHITE,2012,Euthanized
Reported Lost by Public,2012,August,,,MALE,false,MED,UNKNOWN,2012,Other
Owner Surrender,2011,May,CHIHUAHUA SH - BEAGLE,,FEMALE,false,MED,TAN,2011,Euthanized
Stray,2011,July,,Infant - Younger than 6 months,UNKNOWN,false,KITTN,BRN TABBY,2011,Euthanized
Stray,2011,May,,,MALE,true,MED,ORG TABBY,2011,Euthanized
Stray,2011,May,,,UNKNOWN,false,KITTN,WHITE,2011,Euthanized
Stray,2011,January,,Youth - Younger than 1 year,FEMALE,false,PUPPY,BLACK,2011,Other
Stray,2011,December,,,FEMALE,false,SMALL,WHITE,2011,Home
Owner Surrender,2012,July,,Infant - Younger than 6 months,FEMALE,false,KITTN,BLACK,2012,Euthanized
Owner Surrender,2011,May,GERM SHEPHERD - CHOW CHOW,Infant - Younger than 6 months,FEMALE,true,PUPPY,BROWN,2011,Home
Owner Surrender,2011,August,,Infant - Younger than 6 months,MALE,true,KITTN,BLK SMOKE,2011,Home
Owner Surrender,2011,March,,Older than 1 year,FEMALE,false,MED,ORG TABBY,2011,Euthanized
Owner Surrender,2012,June,,Older than 1 year,FEMALE,true,MED,BLACK,2012,Euthanized
Stray,2011,May,,,MALE,true,LARGE,WHITE,2011,Other
Stray,2012,July,,Older than 1 year,FEMALE,false,MED,BLACK,2012,Other
Owner Surrender,2012,June,LABRADOR RETR - MIX,Infant - Younger than 6 months,MALE,false,PUPPY,CHOCOLATE,2012,Other
Owner Surrender,2011,September,MAINE COON - MIX,,FEMALE,false,LARGE,BRN TABBY,2011,Euthanized
Owner Surrender,2011,July,,,UNKNOWN,false,MED,GRAY,2011,Euthanized
Stray,2011,July,BEAGLE - MIX,Older than 7 years,MALE,true,SMALL,BROWN,2011,Home
Owner Surrender,2011,January,,,UNKNOWN,false,MED,ORANGE,2011,Euthanized
Stray,2011,January,,,UNKNOWN,false,MED,GRAY TABBY,2011,Other
Stray,2011,June,,,UNKNOWN,false,LARGE,GRAY,2011,Euthanized
Foster Return,2012,February,,Older than 1 year,MALE,true,LARGE,ORG TABBY,2012,Other
Stray,2012,March,LABRADOR RETR - MIX,Older than 1 year,FEMALE,true,MED,BLACK,2012,Other
Owner Surrender,2011,April,MALTESE - MIX,Older than 1 year,MALE,true,TOY,BLACK,2011,Other
Owner Surrender,2011,February,PIT BULL - MIX,Youth - Younger than 1 year,MALE,true,MED,BROWN,2011,Home
Stray,2012,October,,Infant - Younger than 6 months,FEMALE,false,SMALL,BLUE,2012,Home
Owner Surrender,2012,August,,Infant - Younger than 6 months,UNKNOWN,false,KITTN,TORTIE PT,2012,Euthanized
Foster Return,2012,April,,Youth - Younger than 1 year,FEMALE,true,KITTN,GRAY,2012,Home
Owner Surrender,2011,October,,Older than 1 year,FEMALE,true,LARGE,BLUE,2011,Euthanized
Stray,2011,January,,,MALE,true,LARGE,ORG TABBY,2011,Euthanized
Stray,2012,August,,Older than 1 year,MALE,true,SMALL,BLACK,2012,Home
Foster Return,2012,July,,Infant - Younger than 6 months,MALE,true,KITTN,BLACK,2012,Home
Owner Surrender,2011,August,BEAGLE - MIX,,FEMALE,false,PUPPY,WHITE,2011,Home
Stray,2011,March,,,FEMALE,false,LARGE,CALICO,2011,Other
Stray,2011,June,DOMESTIC SH - DOMESTIC SH,,UNKNOWN,false,MED,BLK TABBY,2011,Euthanized
Foster Return,2012,June,,Infant - Younger than 6 months,MALE,true,KITTN,GRAY,2012,Home
Foster Return,2012,January,,Youth - Younger than 1 year,MALE,true,KITTN,BLACK,2012,Home
Stray,2011,April,YORKSHIRE TERR - MIX,Older than 1 year,MALE,false,SMALL,BLACK,2011,Other
Stray,2012,August,,Older than 1 year,MALE,true,SMALL,GRAY,2012,Other
Owner Surrender,2011,May,,,UNKNOWN,false,KITTN,CALICO,2011,Other
Owner Surrender,2012,March,,Older than 1 year,MALE,true,LARGE,BLACK,2012,Euthanized
Stray,2011,May,,Older than 1 year,FEMALE,true,LARGE,BLACK,2011,Home
Foster Return,2012,April,,Infant - Younger than 6 months,MALE,true,KITTN,SEAL PT,2012,Home
Owner Surrender,2012,March,,,FEMALE,false,MED,WHITE,2012,Euthanized
Owner Surrender,2012,February,,Infant - Younger than 6 months,MALE,true,KITTN,SEAL PT,2012,Other
Owner Surrender,2012,September,,Older than 1 year,MALE,false,MED,ORANGE,2012,Euthanized
Stray,2011,February,DOMESTIC LH - DOMESTIC LH,,UNKNOWN,false,MED,GRAY TABBY,2011,Euthanized
Owner Surrender,2011,September,BEAGLE - MIX,Older than 7 years,FEMALE,true,MED,TRICOLOR,2011,Euthanized
Owner Surrender,2011,April,,Infant - Younger than 6 months,FEMALE,true,PUPPY,WHITE,2011,Home
Owner Surrender,2011,February,,Infant - Younger than 6 months,MALE,true,MED,WHITE,2011,Home
Stray,2011,April,POMERANIAN - AMER ESKIMO,Youth - Younger than 1 year,MALE,true,MED,CREAM,2011,Other
Stray,2011,October,,,FEMALE,false,MED,WHITE,2011,Euthanized
Stray,2012,September,,Older than 1 year,FEMALE,false,SMALL,GRAY TABBY,2012,Euthanized
Owner Surrender,2011,December,PIT BULL - MIX,Older than 1 year,MALE,false,LARGE,WHITE,2012,Euthanized
Owner Surrender,2011,August,,,FEMALE,false,MED,BLACK,2011,Euthanized
Stray,2011,May,,,FEMALE,false,LARGE,BRN TABBY,2011,Other
Owner Surrender,2011,December,,Youth - Younger than 1 year,MALE,true,MED,ORG TABBY,2012,Home
Stray,2012,May,,Infant - Younger than 6 months,FEMALE,false,KITTN,BRN TIGER,2012,Other
Stray,2011,August,,,MALE,false,KITTN,TAN,2011,Euthanized
Stray,2012,June,,Infant - Younger than 6 months,UNKNOWN,false,KITTN,BLACK,2012,Euthanized
Reported Lost by Public,2012,September,,,FEMALE,false,,UNKNOWN,2012,Other
Stray,2012,May,,Older than 1 year,MALE,false,TOY,GRAY,2012,Other
Owner Surrender,2011,October,BEAGLE - MIX,Older than 1 year,MALE,true,MED,TRICOLOR,2011,Other
Owner Surrender,2011,March,,Older than 1 year,FEMALE,true,MED,CHOCOLATE,2011,Home
Stray,2012,August,,Youth - Younger than 1 year,MALE,true,MED,BLACK,2012,Other
Stray,2012,July,,Older than 1 year,MALE,true,MED,BROWN,2012,Euthanized
Stray,2011,August,AKITA - PURE BRED,Older than 7 years,FEMALE,false,MED,BLACK,2011,Other
Owner Surrender,2012,August,,Infant - Younger than 6 months,FEMALE,false,KITTN,BLACK,2012,Euthanized
Stray,2011,July,PIT BULL - AMER BULLDOG,Older than 1 year,MALE,false,MED,GRAY,2011,Home
Stray,2012,August,,Infant - Younger than 6 months,MALE,false,KITTN,BRN TABBY,2012,Euthanized
Stray,2011,December,,Older than 1 year,FEMALE,true,SMALL,RED,2011,Home
Stray,2012,July,BEAGLE - CATAHOULA,Older than 1 year,FEMALE,true,MED,GRAY,2012,Home
Owner Surrender,2011,August,PIT BULL - MIX,Older than 7 years,MALE,false,LARGE,BLACK,2011,Euthanized
Foster Return,2012,January,,Infant - Younger than 6 months,FEMALE,true,KITTN,BRN TABBY,2012,Home
Stray,2012,February,,Older than 1 year,FEMALE,true,MED,CALICO,2012,Other
Stray,2011,May,,,FEMALE,false,KITTN,BRN TABBY,2011,Euthanized
Stray,2012,June,,,FEMALE,false,MED,BLACK,2012,Euthanized
Owner Surrender,2011,July,,Infant - Younger than 6 months,MALE,true,KITTN,GRAY TABBY,2011,Home
Stray,2011,January,BOXER - MIX,Older than 1 year,MALE,true,LARGE,BROWN,2011,Home
Stray,2011,December,LABRADOR RETR - PIT BULL,Youth - Younger than 1 year,MALE,true,LARGE,BLACK,2012,Home
Owner Surrender,2012,May,,Older than 7 years,MALE,true,SMALL,WHITE,2012,Home
Foster Return,2012,February,,Youth - Younger than 1 year,MALE,true,MED,BLUE PT,2012,Home
Stray,2011,April,,,MALE,false,KITTN,BLACK,2011,Euthanized
Stray,2011,July,,,UNKNOWN,false,MED,ORG TABBY,2011,Euthanized
Stray,2011,June,,,FEMALE,false,LARGE,ORG TABBY,2011,Euthanized
Owner Surrender,2011,November,LABRADOR RETR - MIX,,MALE,false,PUPPY,BLACK,2012,Other
Stray,2012,July,,Older than 1 year,UNKNOWN,false,LARGE,GRAY,2012,Other
Stray,2012,June,,,MALE,false,MED,WHITE,2012,Euthanized
Stray,2011,August,,,MALE,false,MED,BLACK,2011,Euthanized
Stray,2011,August,,Infant - Younger than 6 months,FEMALE,false,PUPPY,TAN,2011,Other
Impound,2012,April,,,FEMALE,false,MED,WHITE,2012,Other
Stray,2011,October,,,FEMALE,true,LARGE,BLACK,2011,Home
Stray,2012,March,,Older than 1 year,MALE,true,LARGE,WHITE,2012,Other
Stray,2011,April,,Older than 1 year,FEMALE,false,MED,RED,2011,Other
Stray,2012,August,,Older than 1 year,MALE,false,LARGE,BLACK,2012,Euthanized
Stray,2012,May,,,MALE,true,MED,BROWN,2012,Euthanized
Owner Surrender,2012,May,,Older than 1 year,MALE,true,X-LRG,BLACK,2012,Other
Stray,2011,July,,,UNKNOWN,false,KITTN,GRAY,2011,Euthanized
Owner Surrender,2011,April,DOMESTIC SH - DOMESTIC SH,,FEMALE,true,MED,BUFF,2011,Euthanized
Owner Surrender,2012,September,,,MALE,true,SMALL,WHITE,2012,Euthanized
Stray,2012,August,,Older than 1 year,MALE,true,MED,TAN,2012,Other
Owner Surrender,2011,September,,Infant - Younger than 6 months,FEMALE,false,KITTN,BLACK,2011,Euthanized
Stray,2011,December,,Older than 1 year,MALE,false,LARGE,BRN TABBY,2012,Euthanized
Owner Surrender,2011,June,,Older than 7 years,FEMALE,true,LARGE,BROWN,2011,Euthanized
Stray,2012,July,SCOT TERRIER - LABRADOR RETR,Infant - Younger than 6 months,MALE,true,PUPPY,BLACK,2012,Other
Stray,2012,June,,,FEMALE,false,MED,BL BRINDLE,2012,Euthanized
Owner Surrender,2011,November,,Infant - Younger than 6 months,FEMALE,false,KITTN,BLACK,2011,Euthanized
Stray,2011,December,,Infant - Younger than 6 months,UNKNOWN,false,KITTN,ORG TABBY,2011,Other
Stray,2011,July,,,FEMALE,false,MED,BLK TABBY,2011,Euthanized
Stray,2011,January,,Youth - Younger than 1 year,FEMALE,true,LARGE,TORTIE,2011,Home
Stray,2012,September,,Youth - Younger than 1 year,MALE,false,LARGE,GRAY TABBY,2012,Other
Stray,2012,June,GOLDEN RETR - MIX,Older than 1 year,MALE,false,LARGE,YELLOW,2012,Home
Owner Surrender,2011,August,,Older than 7 years,FEMALE,true,LARGE,TRICOLOR,2011,Euthanized
Stray,2012,March,,Older than 1 year,FEMALE,true,MED,BL BRINDLE,2012,Home
Stray,2012,August,,Infant - Younger than 6 months,FEMALE,false,PUPPY,FAWN,2012,Other
Owner Surrender,2012,June,,Older than 1 year,MALE,false,MED,BLACK,2012,Euthanized
Stray,2011,September,,,FEMALE,false,MED,GRAY TABBY,2011,Other
Stray,2011,May,,,UNKNOWN,false,KITTN,BRN TABBY,2011,Euthanized
Out Patient Spay or Neuter,2011,March,,Older than 1 year,MALE,true,LARGE,BLACK,2011,Other
Stray,2011,July,,,MALE,false,KITTN,ORG TABBY,2011,Euthanized
Stray,2011,October,,,MALE,false,MED,BLACK,2011,Euthanized
Stray,2011,February,,,FEMALE,false,SMALL,BLACK,2011,Other
Owner Surrender,2011,May,,Older than 7 years,MALE,true,LARGE,RED,2011,Euthanized
Stray,2011,November,,,UNKNOWN,false,LARGE,ORG TABBY,2011,Euthanized
Owner Surrender,2012,July,,Infant - Younger than 6 months,FEMALE,true,PUPPY,BLACK,2012,Other
Stray,2012,June,BEAGLE - LABRADOR RETR,Older than 1 year,MALE,false,MED,BLACK,2012,Other
Stray,2011,April,SCHNAUZER MIN - MIX,,FEMALE,false,MED,BLACK,2011,Other
Stray,2011,December,,Infant - Younger than 6 months,MALE,true,KITTN,BRN TABBY,2012,Other
Stray,2011,June,,,UNKNOWN,false,SMALL,BLACK,2011,Euthanized
Owner Surrender,2011,June,,Youth - Younger than 1 year,FEMALE,true,SMALL,GRAY TABBY,2011,Home
Stray,2012,June,GERM SHEPHERD - MIX,Older than 1 year,FEMALE,true,LARGE,RED,2012,Home
Stray,2011,October,,Infant - Younger than 6 months,FEMALE,true,KITTN,GRAY,2011,Home
Owner Surrender,2012,February,,Infant - Younger than 6 months,MALE,true,SMALL,BRN TABBY,2012,Home
Stray,2012,July,,Infant - Younger than 6 months,MALE,false,MED,BLACK,2012,Euthanized
Stray,2012,July,,Youth - Younger than 1 year,FEMALE,false,MED,WHITE,2012,Euthanized
Stray,2012,May,PIT BULL - MIX,Older than 1 year,FEMALE,false,MED,BLACK,2012,Euthanized
Stray,2012,March,,Youth - Younger than 1 year,FEMALE,false,MED,GRAY,2012,Euthanized
Stray,2012,February,,,FEMALE,false,MED,CALICO,2012,Euthanized
Owner Surrender,2011,April,,Older than 1 year,MALE,true,MED,TAN,2011,Other
Owner Surrender,2012,June,,Older than 7 years,FEMALE,false,MED,BROWN,2012,Euthanized
Stray,2011,August,,Infant - Younger than 6 months,FEMALE,true,KITTN,TORTIE,2011,Home
Reported Lost by Public,2012,July,,,FEMALE,false,SMALL,UNKNOWN,2012,Other
