IntakeMonth,Breed,EstimatedAge,Sex,SpayNeuter,Size,Color,IntakeType,IntakeYear,OutcomeYear,Class
Foster Return,2012,February,,Infant - Younger than 6 months,FEMALE,true,KITTN,ORANGE,2012,Home
Owner Surrender,2012,January,SCHNAUZER STAND - MIX,Youth - Younger than 1 year,FEMALE,true,MED,BLACK,2012,Other
Stray,2011,March,,,FEMALE,false,MED,WHITE,2011,Euthanized
Owner Surrender,2012,June,,Older than 1 year,FEMALE,false,MED,BLACK,2012,Other
Owner Surrender,2011,November,,Older than 1 year,FEMALE,true,MED,BRN TABBY,2011,Other
Stray,2012,September,,Older than 1 year,MALE,true,LARGE,BLACK,2012,Other
Owner Surrender,2012,September,,Infant - Younger than 6 months,FEMALE,false,SMALL,WHITE,2012,Other
Stray,2012,May,,Infant - Younger than 6 months,MALE,true,KITTN,ORG TIGER,2012,Other
Stray,2011,January,,,UNKNOWN,false,LARGE,BLACK,2011,Euthanized
Stray,2011,July,,Older than 1 year,FEMALE,true,MED,BROWN,2011,Home
Stray,2012,January,,Older than 1 year,FEMALE,true,SMALL,RED,2012,Home
Foster Return,2012,September,,Infant - Younger than 6 months,FEMALE,true,KITTN,CREAM,2012,Home
Impound,2011,January,,,MALE,true,LARGE,BR BRINDLE,2012,Other
Stray,2012,September,,Older than 1 year,FEMALE,false,SMALL,BLACK,2012,Home
Stray,2012,May,AMER BULLDOG - MIX,Older than 1 year,MALE,false,X-LRG,BLACK,2012,Home
Stray,2012,August,,Older than 1 year,FEMALE,true,LARGE,BROWN,2012,Euthanized
Stray,2011,February,BORDER COLLIE - BEAGLE,Youth - Younger than 1 year,FEMALE,true,MED,BLACK,2011,Other
Reported Found by Public,2012,July,,,FEMALE,false,,UNKNOWN,2012,Other
Owner Surrender,2011,May,,Infant - Younger than 6 months,FEMALE,true,KITTN,CALICO,2011,Home
Owner Surrender,2011,October,,Older than 7 years,FEMALE,true,MED,TORTIE,2011,Euthanized
Owner Surrender,2011,November,,,FEMALE,false,KITTN,ORG TABBY,2011,Euthanized
Stray,2011,July,,,FEMALE,false,MED,GRAY TABBY,2011,Euthanized
Stray,2012,March,GERM SHEPHERD - COLLIE ROUGH,,MALE,false,PUPPY,BLACK,2012,Other
Stray,2011,February,CHOW CHOW - MIX,Older than 7 years,MALE,true,MED,BLACK,2011,Home
Owner Surrender,2012,June,,Older than 1 year,FEMALE,false,SMALL,BROWN,2012,Euthanized
Foster Return,2012,April,,Youth - Younger than 1 year,FEMALE,true,KITTN,BLACK,2012,Home
Owner Surrender,2012,January,GERM SHEPHERD - MIX,Older than 1 year,FEMALE,false,MED,BROWN,2012,Euthanized
Stray,2012,February,,Older than 1 year,FEMALE,false,SMALL,GRAY TABBY,2012,Euthanized
Owner Surrender,2011,April,,Infant - Younger than 6 months,MALE,true,KITTN,BLACK,2011,Home
Stray,2011,April,,,MALE,true,LARGE,BLACK,2011,Home
Stray,2012,April,CHIHUAHUA SH - PIT BULL,,MALE,false,SMALL,BROWN,2012,Euthanized
Owner Surrender,2012,March,,Infant - Younger than 6 months,MALE,true,KITTN,BRN TABBY,2012,Other
Owner Surrender,2011,August,,Infant - Younger than 6 months,MALE,false,KITTN,GRAY TABBY,2011,Euthanized
Stray,2011,August,,,MALE,false,SMALL,BLACK,2011,Euthanized
Stray,2012,April,,,UNKNOWN,false,MED,WHITE,2012,Other
Stray,2012,April,,Older than 7 years,MALE,true,MED,BR BRINDLE,2012,Home
Stray,2011,February,,,MALE,false,LARGE,BLACK,2011,Other
Stray,2012,August,,Older than 1 year,FEMALE,false,SMALL,WHITE,2012,Other
Stray,2011,February,,,MALE,false,MED,BLUE MERLE,2011,Euthanized
Foster Return,2012,March,,Infant - Younger than 6 months,MALE,true,SMALL,GRAY TABBY,2012,Other
Stray,2012,May,,Older than 1 year,FEMALE,true,SMALL,WHITE,2012,Home
Out Patient Spay or Neuter,2011,March,,Older than 1 year,MALE,true,TOY,TAN,2011,Other
Stray,2011,July,,Infant - Younger than 6 months,MALE,false,KITTN,BLACK,2011,Euthanized
Stray,2012,February,JACK RUSS TER - MIX,,MALE,true,SMALL,BLACK,2012,Euthanized
Foster Return,2012,May,,Youth - Younger than 1 year,FEMALE,true,SMALL,WHITE,2012,Other
Stray,2011,August,PIT BULL - MIX,,FEMALE,false,LARGE,BROWN,2011,Euthanized
Owner Surrender,2011,March,GERM SHEPHERD - AKITA,Infant - Younger than 6 months,MALE,false,PUPPY,BROWN,2011,Other
Stray,2011,November,,Infant - Younger than 6 months,FEMALE,true,KITTN,WHITE,2012,Home
Owner Surrender,2011,May,BENGAL - MIX,,FEMALE,false,MED,BRN TABBY,2011,Other
Stray,2012,March,,,FEMALE,false,SMALL,WHITE,2012,Euthanized
Owner Surrender,2011,January,BORDER COLLIE - MIX,Older than 1 year,FEMALE,true,LARGE,BLACK,2011,Other
Stray,2011,February,,,UNKNOWN,false,LARGE,GRAY,2011,Euthanized
Reported Lost by Public,2012,August,,,FEMALE,false,MED,UNKNOWN,2012,Other
Owner Surrender,2011,December,,Older than 7 years,MALE,false,LARGE,ORG TABBY,2011,Euthanized
Stray,2012,August,FOX TERR WIRE - JACK RUSS TER,Older than 1 year,FEMALE,true,SMALL,WHITE,2012,Home
Owner Surrender,2012,July,,Infant - Younger than 6 months,MALE,false,KITTN,GRAY,2012,Euthanized
Stray,2012,February,PIT BULL - MIX,Older than 1 year,FEMALE,true,MED,BROWN,2012,Home
Owner Surrender,2011,March,GERM SHEPHERD - AKITA,,FEMALE,false,PUPPY,BROWN,2011,Other
Stray,2012,April,YORKSHIRE TERR - MIX,Youth - Younger than 1 year,FEMALE,true,SMALL,BROWN,2012,Home
Owner Surrender,2011,July,,,FEMALE,false,KITTN,CALICO,2011,Euthanized
Owner Surrender,2011,July,,,UNKNOWN,false,MED,BLACK,2011,Euthanized
Owner Surrender,2011,June,,Older than 1 year,MALE,true,X-LRG,WHITE,2011,Home
Stray,2011,October,,Older than 1 year,MALE,false,SMALL,BLACK,2011,Euthanized
Stray,2012,March,,Infant - Younger than 6 months,MALE,true,SMALL,GRAY TABBY,2012,Other
Stray,2011,September,,,UNKNOWN,false,MED,ORANGE,2011,Euthanized
Stray,2012,February,,Older than 1 year,FEMALE,false,MED,GRAY TABBY,2012,Euthanized
Stray,2011,October,AUST SHEPHERD - MIX,Older than 1 year,FEMALE,false,LARGE,BLACK,2011,Home
Stray,2012,February,,,UNKNOWN,false,MED,SLVR TIGER,2012,Euthanized
Owner Surrender,2012,August,,Older than 1 year,MALE,false,MED,BLACK,2012,Euthanized
Stray,2012,January,,Older than 1 year,FEMALE,true,SMALL,BROWN,2012,Home
Owner Surrender,2011,September,,Infant - Younger than 6 months,MALE,false,PUPPY,BROWN,2011,Other
Owner Surrender,2011,June,,Older than 7 years,FEMALE,true,LARGE,TORTIE,2011,Home
Stray,2011,February,DOBERMAN PINSCH - GERM SHEPHERD,Youth - Younger than 1 year,MALE,true,MED,BLACK,2011,Other
Stray,2012,July,,Older than 1 year,MALE,false,MED,GRAY TIGER,2012,Other
Foster Return,2012,January,,Infant - Younger than 6 months,MALE,true,KITTN,BRN TABBY,2012,Home
Owner Surrender,2011,August,,,FEMALE,true,SMALL,BLUE,2011,Other
Foster Return,2012,March,,Infant - Younger than 6 months,FEMALE,true,KITTN,BLACK,2012,Other
Reported Lost by Public,2012,July,,,FEMALE,false,TOY,UNKNOWN,2012,Other
Owner Surrender,2011,February,,Infant - Younger than 6 months,FEMALE,false,KITTN,BRN TABBY,2011,Other
Stray,2011,December,,,FEMALE,false,KITTN,CALICO,2011,Euthanized
Owner Surrender,2011,January,GREAT PYRENEES - GOLDEN RETR,Infant - Younger than 6 months,MALE,true,PUPPY,TRICOLOR,2011,Other
Stray,2012,May,,,UNKNOWN,false,SMALL,BLACK,2012,Other
Stray,2011,May,,Older than 1 year,MALE,true,MED,WHITE,2011,Home
Impound,2011,March,,Older than 1 year,MALE,true,LARGE,BUFF,2011,Home
Stray,2012,August,,Infant - Younger than 6 months,MALE,false,KITTN,BLK TABBY,2012,Other
Stray,2011,August,,,FEMALE,false,LARGE,CALICO,2011,Euthanized
Stray,2011,May,,,MALE,false,MED,BLACK,2011,Other
Stray,2012,September,YORKSHIRE TERR - MIX,Infant - Younger than 6 months,FEMALE,true,PUPPY,BLACK,2012,Other
Stray,2011,February,,Youth - Younger than 1 year,MALE,true,SMALL,WHITE,2011,Home
Stray,2011,May,,,UNKNOWN,false,MED,WHITE,2011,Euthanized
Owner Surrender,2011,February,,Older than 1 year,FEMALE,true,MED,BLACK,2011,Euthanized
Stray,2011,March,,Older than 1 year,MALE,true,MED,FAWN,2011,Home
Stray,2011,May,,,UNKNOWN,false,KITTN,TORTIE,2011,Euthanized
Stray,2011,May,,,UNKNOWN,false,KITTN,WHITE,2011,Euthanized
Stray,2012,June,PIT BULL - MIX,Older than 1 year,MALE,false,LARGE,BROWN,2012,Euthanized
Stray,2012,June,,,UNKNOWN,false,KITTN,BLACK,2012,Euthanized
Owner Surrender,2011,January,,Older than 1 year,MALE,true,LARGE,BRN MERLE,2011,Other
Stray,2012,August,,Infant - Younger than 6 months,MALE,false,KITTN,GRAY,2012,Other
Owner Surrender,2011,June,,Older than 1 year,FEMALE,true,MED,RED,2011,Home
Impound,2011,May,BULLDOG - BOXER,Youth - Younger than 1 year,MALE,false,MED,BR BRINDLE,2011,Other
Owner Surrender,2011,April,,Older than 1 year,MALE,false,MED,ORANGE,2011,Euthanized
Stray,2011,November,DACHSHUND - JACK RUSS TER,,FEMALE,false,MED,BROWN,2011,Home
Stray,2011,May,,,FEMALE,false,PUPPY,BROWN,2011,Euthanized
Owner Surrender,2012,April,,Older than 1 year,FEMALE,true,LARGE,BLACK,2012,Euthanized
Owner Surrender,2011,September,,,UNKNOWN,false,KITTN,BRN TABBY,2011,Euthanized
Owner Surrender,2011,July,,Infant - Younger than 6 months,MALE,true,KITTN,BRN TABBY,2011,Home
Stray,2012,May,,,FEMALE,true,MED,BLACK,2012,Home
Stray,2011,April,,,FEMALE,true,MED,WHITE,2011,Other
Foster Return,2012,January,,Youth - Younger than 1 year,FEMALE,true,KITTN,BLACK,2012,Home
Stray,2012,September,,Infant - Younger than 6 months,MALE,false,KITTN,GRAY TIGER,2012,Euthanized
Stray,2011,April,SCHNAUZER MIN - MIX,Older than 1 year,FEMALE,true,SMALL,BLACK,2011,Other
Foster Return,2012,February,BORDER COLLIE - GOLDEN RETR,Older than 1 year,FEMALE,true,MED,BUFF,2012,Other
Owner Surrender,2011,November,,Older than 7 years,MALE,false,LARGE,BLACK,2011,Euthanized
Stray,2011,August,,,MALE,true,MED,GRAY,2011,Euthanized
Stray,2011,May,,,UNKNOWN,false,LARGE,BRN TABBY,2011,Euthanized
Stray,2012,February,,Older than 1 year,FEMALE,true,LARGE,YELLOW,2012,Home
Stray,2011,March,,,FEMALE,false,SMALL,CREAM,2011,Home
Stray,2011,July,,Older than 1 year,MALE,true,SMALL,TRICOLOR,2011,Other
Foster Return,2012,October,,Infant - Younger than 6 months,MALE,true,KITTN,WHITE,2012,Other
Stray,2012,May,,Infant - Younger than 6 months,MALE,false,KITTN,ORG TABBY,2012,Euthanized
Stray,2012,September,,Older than 1 year,FEMALE,false,SMALL,ORANGE,2012,Euthanized
Stray,2011,February,,,UNKNOWN,false,SMALL,BLACK,2011,Euthanized
Owner Surrender,2012,August,PEKINGESE - SHIH TZU,Older than 1 year,FEMALE,true,TOY,CREAM,2012,Home
Owner Surrender,2012,July,LABRADOR RETR - MIX,Youth - Younger than 1 year,MALE,true,PUPPY,BROWN,2012,Home
Stray,2011,May,HARRIER - MANCHESTER TERR,Youth - Younger than 1 year,FEMALE,true,MED,BROWN,2011,Home
Owner Surrender,2011,July,,,MALE,true,MED,BLACK,2011,Euthanized
Stray,2011,July,,Older than 1 year,FEMALE,true,LARGE,BROWN,2011,Home
Stray,2012,June,,Infant - Younger than 6 months,FEMALE,true,KITTN,GRAY,2012,Other
Stray,2011,March,,,MALE,false,LARGE,BUFF,2011,Euthanized
Stray,2011,July,BOXER - MIX,Youth - Younger than 1 year,FEMALE,true,LARGE,BROWN,2011,Home
Stray,2011,October,LABRADOR RETR - MIX,Older than 1 year,MALE,false,MED,BLACK,2011,Home
Owner Surrender,2011,June,LABRADOR RETR - PURE BRED,Older than 7 years,FEMALE,true,MED,BLACK,2011,Euthanized
Owner Surrender,2011,April,,Older than 1 year,MALE,true,LARGE,BLACK,2011,Euthanized
Impound,2011,January,,Older than 1 year,MALE,true,MED,BR BRINDLE,2011,Other
Stray,2012,August,,Older than 7 years,MALE,true,X-LRG,BLACK,2012,Euthanized
Stray,2012,September,BOSTON TERRIER - MIX,Older than 1 year,MALE,false,MED,CHOCOLATE,2012,Other
Stray,2011,March,,,UNKNOWN,false,KITTN,BLACK,2011,Other
Foster Return,2012,April,BEAGLE - MIX,Older than 1 year,FEMALE,true,MED,BLACK,2012,Other
Owner Surrender,2011,March,,,UNKNOWN,false,MED,ORG TABBY,2011,Euthanized
Owner Surrender,2012,March,COCKER SPAN - BEAGLE,Older than 7 years,MALE,true,MED,BLACK,2012,Other
Stray,2011,May,,,FEMALE,false,MED,BRN TABBY,2011,Euthanized
Owner Surrender,2011,July,LABRADOR RETR - GOLDEN RETR,Older than 7 years,MALE,true,X-LRG,RED,2011,Other
Stray,2011,March,,,UNKNOWN,false,KITTN,BLK TABBY,2011,Other
Stray,2011,January,SHIBA INU - RAT TERRIER,Older than 7 years,FEMALE,true,MED,TRICOLOR,2011,Other
Owner Surrender,2011,May,,Older than 7 years,FEMALE,true,LARGE,BROWN,2011,Euthanized
Stray,2011,January,,Infant - Younger than 6 months,MALE,false,KITTN,BRN TABBY,2011,Other
Stray,2012,March,,Older than 1 year,MALE,true,SMALL,TAN,2012,Home
Stray,2011,July,,,MALE,false,SMALL,BROWN,2011,Other
Stray,2012,September,,Older than 1 year,FEMALE,true,MED,WHITE,2012,Other
Stray,2011,August,,,FEMALE,false,KITTN,TORTIE,2011,Euthanized
Stray,2012,May,,Older than 7 years,MALE,true,MED,BLUE,2012,Euthanized
Stray,2011,August,,,MALE,false,MED,BLACK,2011,Euthanized
Stray,2011,August,,Older than 1 year,FEMALE,true,LARGE,TAN,2011,Home
Owner Surrender,2011,June,ROTTWEILER - MIX,Infant - Younger than 6 months,MALE,false,PUPPY,BLACK,2011,Other
