IntakeMonth,Breed,EstimatedAge,Sex,SpayNeuter,Size,Color,IntakeType,IntakeYear,OutcomeYear,Class
Stray,2011,October,,,UNKNOWN,false,KITTN,WHITE,2011
Stray,2011,January,CHOW CHOW - GOLDEN RETR,Older than 1 year,MALE,true,MED,RED,2011
Stray,2011,November,,Older than 1 year,FEMALE,true,MED,TAN,2011
Stray,2012,July,,Older than 7 years,FEMALE,true,SMALL,TAN,2012
Stray,2011,January,,,MALE,false,KITTN,BLACK,2011
Owner Surrender,2012,May,,Infant - Younger than 6 months,MALE,true,KITTN,BLACK,2012
Foster Return,2012,May,SHIH TZU - MIX,Older than 7 years,MALE,false,SMALL,TAN,2012
Owner Surrender,2011,April,,Infant - Younger than 6 months,FEMALE,true,KITTN,BLACK,2011
Owner Surrender,2011,November,SHIH TZU - POODLE MIN,Infant - Younger than 6 months,MALE,true,SMALL,BLACK,2011
Stray,2011,September,,,UNKNOWN,false,MED,CALICO,2011
Stray,2012,May,,,MALE,false,KITTN,CREAM,2012
Stray,2012,May,,,MALE,false,SMALL,BLACK,2012
Stray,2011,May,,,FEMALE,false,MED,BLACK,2011
Stray,2012,May,,Older than 1 year,UNKNOWN,false,MED,ORANGE,2012
Owner Surrender,2012,July,,Older than 1 year,FEMALE,true,MED,CALICO,2012
Owner Surrender,2011,July,,Infant - Younger than 6 months,MALE,true,KITTN,GRAY,2011
Stray,2011,April,,Infant - Younger than 6 months,UNKNOWN,false,KITTN,BLACK,2011
Owner Surrender,2011,August,BEAGLE - MIX,Infant - Younger than 6 months,FEMALE,true,PUPPY,TRICOLOR,2011
Owner Surrender,2011,December,,Older than 1 year,MALE,true,LARGE,BLACK,2012
Owner Surrender,2011,June,,Older than 1 year,FEMALE,true,LARGE,BRN TABBY,2011
Stray,2011,January,PIT BULL - MIX,Older than 1 year,FEMALE,true,MED,BLACK,2011
Owner Surrender,2011,May,,,UNKNOWN,false,MED,BLACK,2011
Owner Surrender,2012,February,,Older than 1 year,FEMALE,true,MED,CALICO,2012
Stray,2011,May,BEARDED COLLIE - MIX,Infant - Younger than 6 months,FEMALE,true,PUPPY,WHITE,2011
Foster Return,2012,March,,Youth - Younger than 1 year,MALE,true,KITTN,ORG TIGER,2012
Stray,2011,December,,,UNKNOWN,false,MED,BLACK,2011
Owner Surrender,2011,April,,,FEMALE,false,MED,BLACK,2011
Owner Surrender,2011,April,,Infant - Younger than 6 months,MALE,true,PUPPY,BROWN,2011
Stray,2011,January,,,FEMALE,false,MED,TORTIE,2011
Stray,2012,September,,Older than 7 years,MALE,true,MED,GRAY,2012
Stray,2011,May,,Older than 1 year,FEMALE,false,LARGE,CHOCOLATE,2011
Stray,2011,January,LABRADOR RETR - MIX,Youth - Younger than 1 year,MALE,true,MED,BLACK,2011
Stray,2011,January,,,FEMALE,false,MED,BRN TABBY,2011
Stray,2011,November,,Youth - Younger than 1 year,FEMALE,true,MED,WHITE,2011
Owner Surrender,2011,April,,,FEMALE,false,MED,TRICOLOR,2011
Stray,2011,May,,,UNKNOWN,false,KITTN,GRAY,2011
Owner Surrender,2011,March,AMERICAN STAFF - PURE BRED,Older than 7 years,MALE,false,MED,FAWN,2011
Owner Surrender,2011,January,,,FEMALE,false,MED,GRAY TABBY,2011
Stray,2012,March,,,MALE,true,SMALL,GRAY TABBY,2012
Stray,2011,August,,Older than 1 year,MALE,true,LARGE,BLACK,2011
Stray,2012,July,,Older than 1 year,FEMALE,false,MED,BLACK,2012
Stray,2011,July,,,UNKNOWN,false,KITTN,GRAY,2011
Impound,2012,May,,,MALE,false,LARGE,BLACK,2012
Stray,2011,April,,,MALE,false,SMALL,BUFF,2011
Owner Surrender,2011,January,JACK RUSS TER - PATTERDALE TERR,Older than 1 year,MALE,true,MED,BLACK,2011
Owner Surrender,2011,January,,Infant - Younger than 6 months,FEMALE,false,SMALL,CALICO,2011
Stray,2012,June,,Infant - Younger than 6 months,MALE,true,KITTN,BLACK,2012
Stray,2011,August,,,MALE,true,LARGE,BLACK,2011
Impound,2011,May,,,MALE,false,LARGE,BR BRINDLE,2011
Stray,2012,August,JACK RUSS TER - BEAGLE,Infant - Younger than 6 months,MALE,false,SMALL,BROWN,2012
Stray,2012,March,LABRADOR RETR - MIX,Infant - Younger than 6 months,FEMALE,true,PUPPY,WHITE,2012
Stray,2011,September,,Older than 1 year,MALE,true,MED,WHITE,2011
Owner Surrender,2011,June,BORDER COLLIE - MIX,Youth - Younger than 1 year,FEMALE,true,MED,BLACK,2011
Stray,2011,April,,,MALE,false,MED,ORANGE,2011
Owner Surrender,2011,August,GERM SHEPHERD - MIX,,FEMALE,true,MED,BLACK,2011
Owner Surrender,2012,March,,Older than 7 years,MALE,false,LARGE,BLACK,2012
Owner Surrender,2011,September,,Infant - Younger than 6 months,MALE,true,KITTN,BRN TABBY,2011
Stray,2011,March,LABRADOR RETR - MIX,,FEMALE,false,MED,RED,2011
Stray,2011,May,AUST SHEPHERD - MIX,Older than 1 year,FEMALE,false,LARGE,BLACK,2011
Stray,2012,May,,Infant - Younger than 6 months,FEMALE,false,KITTN,BLACK,2012
