name,amount
Lost Report Expired,149
Foster,257
Missing,18
Returned to Owner,1574
Disposal,103
Transferred to Rescue Group,2419
Found Report Expired,13
Adopted,2120
Missing Report Expired,1
Euthanized,2758
EMPTY,35
Released in Field,101
No Show,2
Died,85
